CustomerID,FirstName,LastName,DateOfBirth,AddressID,CustomerTypeID,Age
10832,Nyla,Aguirre,1974-02-07 00:00:00.000000,881,1,52.0
10983,0,Battle,1963-02-01 00:00:00.000000,958,2,63.0
10837,Angelena,Harrington,1964-03-25 00:00:00.000000,86,3,62.0
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1,61.0
10553,King,Becker,1966-02-20 00:00:00.000000,969,3,60.0
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3,29.0
10861,Roderick,Mckee,1980-02-04 00:00:00.000000,604,3,46.0
10964,Jewell,Flowers,1978-05-31 00:00:00.000000,700,3,48.0
10578,Shizuko,Boyer,2000-08-23 00:00:00.000000,635,3,26.0
10148,Avelina,Barker,1997-10-27 00:00:00.000000,28,2,28.0
10790,Cliff,Short,1969-01-14 00:00:00.000000,193,3,57.0
10125,Amberly,Bowen,2000-01-27 00:00:00.000000,982,2,26.0
10233,Nisha,0,1999-09-15 00:00:00.000000,591,1,27.0
10234,Eduardo,Goff,1968-11-17 00:00:00.000000,85,1,57.0
10961,Audrea,French,1962-03-29 00:00:00.000000,670,1,64.0
10671,Sherell,Hamilton,1996-07-14 00:00:00.000000,1041,1,30.0
10682,Ambrose,Harrison,1976-06-29 00:00:00.000000,455,1,50.0
10533,Rodolfo,Fitzgerald,1988-02-12 00:00:00.000000,634,2,38.0
10523,Phil,Clay,1999-11-02 00:00:00.000000,479,3,26.0
10131,Quintin,Wheeler,1976-01-21 00:00:00.000000,1201,1,50.0
10575,Mel,Hobbs,1992-12-18 00:00:00.000000,143,1,33.0
10941,Lamont,Mcgowan,2000-03-16 00:00:00.000000,87,2,26.0
10252,Loralee,Dodson,1988-10-13 00:00:00.000000,1058,1,37.0
10830,0,Burt,1992-06-29 00:00:00.000000,1169,2,34.0
10223,Ray,Farmer,1998-01-11 00:00:00.000000,193,1,28.0
10922,Adan,Benton,1997-07-29 00:00:00.000000,841,1,29.0
10048,Matthew,Mcclure,1991-01-16 00:00:00.000000,615,2,35.0
10001,Sherrell,Barlow,1969-06-07 00:00:00.000000,560,2,57.0
10013,Eric,Franks,1966-04-14 00:00:00.000000,849,3,60.0
10165,Dominique,Allison,1984-04-28 00:00:00.000000,1176,1,42.0
10466,Bruce,Branch,1988-02-11 00:00:00.000000,675,1,38.0
10938,Graham,Dalton,1999-05-01 00:00:00.000000,400,1,27.0
10641,Gino,Hopkins,1964-11-23 00:00:00.000000,740,2,61.0
10222,Verline,Kelley,1980-05-02 00:00:00.000000,699,3,46.0
10420,Bruna,Henry,1964-04-17 00:00:00.000000,152,2,62.0
10296,Zandra,Delaney,1988-03-04 00:00:00.000000,579,3,38.0
10376,Mardell,Nguyen,1965-06-19 00:00:00.000000,1077,1,61.0
10987,Rosana,Drake,1971-10-26 00:00:00.000000,1196,3,54.0
10133,Eliseo,Cantu,1977-06-11 00:00:00.000000,756,3,49.0
10673,Demetrius,Roth,1994-05-20 00:00:00.000000,340,1,32.0
11077,Reynalda,Flynn,1972-03-21 00:00:00.000000,920,3,54.0
10777,Jacquelynn,Bush,1997-09-19 00:00:00.000000,12,3,28.0
10854,Leontine,May,2000-12-07 00:00:00.000000,36,1,25.0
10512,Deeann,Spears,1961-01-25 00:00:00.000000,905,2,65.0
10045,Yasuko,Greer,1986-11-09 00:00:00.000000,945,1,39.0
10066,Calvin,Donaldson,1967-06-24 00:00:00.000000,517,2,59.0
11082,Pierre,Cross,1989-09-18 00:00:00.000000,463,3,37.0
10816,Riva,Powell,1972-10-02 00:00:00.000000,109,2,53.0
11083,Elfreda,Sheppard,1994-04-05 00:00:00.000000,1200,3,32.0
10598,Rudy,Lott,1998-11-06 00:00:00.000000,1048,1,27.0
10675,Pete,Marks,1969-06-09 00:00:00.000000,304,2,57.0
10196,BraEdon,Boone,1986-09-13 00:00:00.000000,500,1,40.0
10568,Mirtha,Bowman,1965-05-26 00:00:00.000000,606,2,61.0
10748,Glayds,Russo,1996-05-30 00:00:00.000000,620,1,30.0
10740,Eleanora,Gates,1987-07-17 00:00:00.000000,655,2,39.0
10161,0,Pena,1975-03-23 00:00:00.000000,634,1,51.0
10449,Shaun,Arnold,2000-10-07 00:00:00.000000,768,3,25.0
10044,Jeanmarie,Fulton,1976-10-08 00:00:00.000000,298,3,49.0
10676,Ammie,Mcguire,1967-07-07 00:00:00.000000,331,1,59.0
10511,Shaunda,Watkins,1998-01-01 00:00:00.000000,195,3,28.0
